OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Legionella pneumophila subsp. pneumophila strain Philadelphia 1-01,0,0,0
Mannheimia succiniciproducens str. MBEL55E-01,0,0,0
Rickettsia bellii strain OSU 85-389-01,0,0,0
Bordetella petrii strain DSM 12804-01,0,0,0
Rhizobium radiobacter K84-01,0,0,0
Yersinia pestis strain CO92-30,0,0,0
Listeria monocytogenes strain Clip80459-08,0,0,0
Saccharomonospora viridis strain DSM 43017-08,0,0,0
Bartonella grahamii strain as4aup-01,0,0,0
Lawsonia intracellularis strain PHE/MN1-00-30,0,0,0
Xanthomonas oryzae pv. oryzae strain KACC10331-08,0,0,0
Caldicellulosiruptor saccharolyticus strain DSM 8903-30,0,0,0
Porphyromonas gingivalis strain ATCC 33277-01,0,0,0
Rhodoferax ferrireducens strain T118-01,0,0,0
Streptococcus suis strain SC84-08,0,0,0
Geobacillus thermodenitrificans strain NG80-2-08,0,0,0
Clostridium perfringens strain ATCC 13124-30,0,0,0
Legionella pneumophila strain Corby-01,0,0,0
Methylobacterium sp. BJ001-08,0,0,0
Anaplasma marginale subsp. centrale str. Israel-08,0,0,0
Brucella suis str. 1330-01,0,0,0
Bordetella bronchiseptica RB50-08,0,0,0
Haemophilus influenzae strain PittEE-01,0,0,0
Bordetella parapertussis strain 12822-08,0,0,0
Verminephrobacter eiseniae strain EF01-2-01,0,0,0
Buchnera aphidicola strain Tuc7 (Acyrthosiphon pisum)-01,0,0,0
Sinorhizobium meliloti (Dangeard 1926) De Lajudie et al. 1994-01,0,0,0
Burkholderia cenocepacia HI2424-08,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7-30,0,0,0
Brucella melitensis str. ATCC 23456-30,0,0,0
Chloroflexus aggregans strain DSM 9485-08,0,0,0
Candidatus Liberibacter asiaticus strain psy62-01,0,0,0
Escherichia coli strain BL21(DE3)-08,0,0,0
Haemophilus ducreyi str. 35000HP-01,0,0,0
Sphaerobacter thermophilus strain DSM 20745-08,0,0,0
Francisella tularensis subsp. holarctica strain FTNF002-00-30,0,0,0
Chromobacterium violaceum str. ATCC 12472-01,0,0,0
Shewanella sp. W3-18-1-01,0,0,0
Escherichia coli O55:H7 strain CB9615-30,0,0,0
Orientia tsutsugamushi strain Boryong-08,0,0,0
Legionella pneumophila str. Paris-01,0,0,0
Methanosarcina acetivorans str. C2A-30,0,0,0
Nocardia farcinica strain IFM 10152-30,0,0,0
Sulfurospirillum deleyianum strain DSM 6946-01,0,0,0
Prosthecochloris aestuarii strain DSM 271-01,0,0,0
Burkholderia cenocepacia AU 1054-08,0,0,0
Xanthomonas oryzae pv. oryzae strain KACC10331-30,0,0,0
Desulfotomaculum reducens strain MI-1-08,0,0,0
Corynebacterium nigricans CN-1-08,0,0,0
Acinetobacter baumannii strain AB0057-01,0,0,0
Halothermothrix orenii strain H 168-08,0,0,0
Escherichia coli strain ED1a-30,0,0,0
Halobacterium sp. NRC-1-30,0,0,0
Clostridium perfringens str. 13-08,0,0,0
Gluconobacter oxydans strain 621H-01,0,0,0
Pseudomonas sp. AM1-30,0,0,0
Pseudomonas multivorans-01,0,0,0
Rhizobium leguminosarum bv. trifolii strain WSM2304-01,0,0,0
Neisseria meningitidis serogroup B strain MC58-01,0,0,0
Geobacter bemidjiensis strain Bem-08,0,0,0
Burkholderia thailandensis strain E264-08,0,0,0
Conexibacter woesei strain DSM 14684-08,0,0,0
Desulfitobacterium hafniense DSM 10664-30,0,0,0
Salmonella paratyphi C strain RKS4594-08,0,0,0
Parabacteroides distasonis strain ATCC 8503-01,0,0,0
Francisella tularensis subsp. mediasiatica strain FSC147-01,0,0,0
Polynucleobacter necessarius subsp. necessarius strain STIR1-01,0,0,0
Legionella pneumophila str. Lens-01,0,0,0
Prochlorococcus sp. MIT9215-01,0,0,0
Thermobifida fusca strain YX-08,0,0,0
Desulfovibrio desulfuricans subsp. desulfuricans strain ATCC 27774-30,0,0,0
Leptospira biflexa serovar Patoc strain Paris-30,0,0,0
Clavibacter michiganensis subsp. michiganensis strain NCPPB 382-08,0,0,0
Ralstonia solanacearum strain IPO1609-08,0,0,0
Pelodictyon phaeoclathratiforme strain BU-1-30,0,0,0
Streptococcus thermophilus strain LMD-9-08,0,0,0
Streptomyces scabies 87.22-30,0,0,0
Leptospira biflexa serovar Patoc strain Patoc1-08,0,0,0
Chloroflexus sp. Y-400-fl-08,0,0,0
Methanosphaera stadtmanae strain DSM 3091-08,0,0,0
Yersinia pestis strain Z176003-08,0,0,0
bacterium Ellin345-30,0,0,0
Desulfovibrio desulfuricans subsp. desulfuricans strain ATCC 27774-08,0,0,0
Ehrlichia chaffeensis str. Arkansas-01,0,0,0
Desulfovibrio vulgaris subsp. vulgaris DP4-30,0,0,0
Actinobacillus pleuropneumoniae serovar 7 strain AP76-01,0,0,0
Thermus thermophilus HB8-30,0,0,0
Candidatus Hamiltonella defensa strain 5AT (Acyrthosiphon pisum)-01,0,0,0
Picrophilus torridus strain DSM 9790-30,0,0,0
Bacillus cereus strain 03BB102-30,0,0,0
Burkholderia mallei str. ATCC 23344-08,0,0,0
Thermus thermophilus strain HB27-30,0,0,0
Arthrobacter chlorophenolicus strain A6-08,0,0,0
Brucella ovis strain ATCC 25840-01,0,0,0
Candidatus Blochmannia floridanus-01,0,0,0
Syntrophus aciditrophicus strain SB-08,0,0,0
Rickettsia massiliae strain MTU5-30,0,0,0
Escherichia coli O55:H7 strain CB9615-08,0,0,0
Geobacillus kaustophilus HTA426-08,0,0,0
Clostridium beijerinckii strain NCIMB 8052-30,0,0,0
Sphingomonas aromaticivorans Balkwill et al. 1997-01,0,0,0
Geobacter bemidjiensis strain Bem-30,0,0,0
Clostridium thermocellum strain ATCC 27405-08,0,0,0
Azoarcus sp. EbN1-01,0,0,0
Neisseria gonorrhoeae strain FA 1090-08,0,0,0
Bartonella tribocorum strain CIP 105476-01,0,0,0
Francisella tularensis subsp. tularensis strain FSC198-08,0,0,0
Geodermatophilus obscurus strain DSM 43160-08,0,0,0
Proteus mirabilis strain HI4320-01,0,0,0
Acinetobacter baumannii strain ACICU-01,0,0,0
Phenylobacterium zucineum strain HLK1-01,0,0,0
Nocardioides sp. JS614-08,0,0,0
Haemophilus influenzae Rd KW20-01,0,0,0
Leptospira biflexa serovar Patoc strain Paris-08,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-1-08,0,0,0
Chlorobium phaeobacteroides strain DSM 266-08,0,0,0
Geodermatophilus obscurus strain DSM 43160-01,0,0,0
Pseudobacterium sepedonicum-08,0,0,0
Kytococcus sedentarius strain DSM 20547-08,0,0,0
Mycobacterium ulcerans strain Agy99-30,0,0,0
Helicobacter hepaticus str. ATCC 51449-30,0,0,0
Histophilus somni str. 129PT-01,0,0,0
Paramecium bursaria Chlorella virus PBCV-1-01,0,0,0
Escherichia coli IAI39-30,0,0,0
Arthrobacter sp. FB24-08,0,0,0
Clostridium sp. OhILAs-30,0,0,0
Neisseria meningitidis strain 053442-01,0,0,0
Bordetella avium strain 197N-01,0,0,0
Serratia proteamaculans strain 568-01,0,0,0
Sulfurihydrogenibium sp. YO3AOP1-08,0,0,0
Prochlorococcus sp. AS9601-01,0,0,0
Shewanella sp. MR-7-01,0,0,0
Mycobacterium marinum strain M-08,0,0,0
Sphingobium japonicum strain UT26S-01,0,0,0
Thermotogales bacterium TBF 19.5.1-30,0,0,0
Rhodopseudomonas palustris strain BisB5-01,0,0,0
Geobacter sp. FRC-32-08,0,0,0
bacterium Ellin345-08,0,0,0
Francisella tularensis subsp. tularensis strain SCHU S4-01,0,0,0
Aggregatibacter aphrophilus strain NJ8700-01,0,0,0
Dictyoglomus turgidum strain DSM 6724-08,0,0,0
Anoxybacillus flavithermus strain WK1-30,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-C-30,0,0,0
Actinosynnema mirum strain DSM 43827-30,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi A strain AKU_12601-08,0,0,0
Ferroglobus placidus strain DSM 10642-08,0,0,0
Caulobacter segnis strain ATCC 21756-01,0,0,0
Burkholderia pseudomallei strain K96243-08,0,0,0
Methanohalophilus mahii strain DSM 5219-08,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi A strain AKU_12601-30,0,0,0
Clostridium novyi-NT-08,0,0,0
Thermobaculum terrenum strain ATCC BAA-798-08,0,0,0
Fibrobacter succinogenes subsp. succinogenes S85-08,0,0,0
Acidobacterium capsulatum strain ATCC 51196-08,0,0,0
Propionibacterium acnes strain SK137-01,0,0,0
Mycobacterium ulcerans strain Agy99-08,0,0,0
Bacillus subtilis subsp. subtilis str. BGSC 1A700-30,0,0,0
Vibrio cholerae strain O395-01,0,0,0
Halorubrum lacusprofundi strain ATCC 49239-30,0,0,0
Rhodococcus erythropolis strain PR4-08,0,0,0
Ralstonia pickettii strain 12D-01,0,0,0
Methylobacterium extorquens strain PA1-08,0,0,0
Edwardsiella tarda strain EIB202-01,0,0,0
Haliangium ochraceum strain DSM 14365-08,0,0,0
Chlorobium tepidum strain TLS-01,0,0,0
Rickettsia canadensis strain McKiel-01,0,0,0
Thermomonospora curvata strain DSM 43183-08,0,0,0
Vibrio fischeri strain ES114-01,0,0,0
Nocardia farcinica strain IFM 10152-08,0,0,0
Sulfurovum sp. NBC37-1-01,0,0,0
Xanthomonas albilineans var. paspali-01,0,0,0
Escherichia coli strain UTI89-30,0,0,0
Rickettsia africae ESF-5-01,0,0,0
Chlamydia trachomatis strain B/TZ1A828/OT-08,0,0,0
Neisseria meningitidis strain FAM18-01,0,0,0
Staphylococcus haemolyticus strain JCSC1435-08,0,0,0
Xenorhabdus bovienii strain SS-2004-01,0,0,0
Vibrio cholerae strain M66-2-30,0,0,0
Buchnera sp. APS-08,0,0,0
Candidatus Blochmannia floridanus-08,0,0,0
Renibacterium salmoninarum strain ATCC 33209-08,0,0,0
Rickettsia peacockii strain Rustic-01,0,0,0
Francisella tularensis subsp. tularensis strain FSC198-01,0,0,0
Thermococcus kodakarensis strain KOD1-08,0,0,0
Anoxybacillus flavithermus strain WK1-01,0,0,0
Hydrogenobaculum sp. Y04AAS1-01,0,0,0
Azoarcus sp. BH72-01,0,0,0
Desulfovibrio desulfuricans subsp. desulfuricans strain G20-08,0,0,0
Nitratiruptor sp. SB155-2-30,0,0,0
Burkholderia pseudomallei strain MSHR346-08,0,0,0
Clostridium acetobutylicum strain ATCC 824-30,0,0,0
Wautersia metallidurans CH34-01,0,0,0
Thermococcus kodakarensis strain KOD1-30,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7-08,0,0,0
Salmonella enterica subsp. enterica serovar Enteritidis strain P125109-08,0,0,0
Chlorobaculum parvum strain NCIB 8327-01,0,0,0
Arcobacter butzleri strain RM4018-01,0,0,0
Geobacter sulfurreducens strain PCA-08,0,0,0
Escherichia fergusonii strain ATCC 35469-30,0,0,0
unidentified eubacterium-01,0,0,0
Escherichia coli IAI39-08,0,0,0
Escherichia coli O111:H- strain 11128-08,0,0,0
Rhizobium etli strain CFN 42-01,0,0,0
Thermoplasma acidophilum strain DSM 1728-08,0,0,0
Coxiella burnetii str. RSA 493-01,0,0,0
Macrococcus caseolyticus strain JCSC5402-30,0,0,0
Brucella abortus strain S19-01,0,0,0
Akkermansia sp. Muc-01,0,0,0
Desulfitobacterium sp. Y51-08,0,0,0
Desulfovibrio vulgaris strain 'Miyazaki F'-08,0,0,0
Candidatus Liberibacter asiaticus strain psy62-08,0,0,0
Anaplasma marginale strain Florida-08,0,0,0
Sphingomonas wittichii strain RW1-01,0,0,0
Burkholderia mallei strain 10229-08,0,0,0
Pseudomonas sp. AM1-08,0,0,0
Edwardsiella ictaluri strain 93-146-01,0,0,0
Lactobacillus fermentum strain IFO 3956-08,0,0,0
Orientia tsutsugamushi strain Ikeda-08,0,0,0
Francisella tularensis subsp. tularensis strain FSC198-30,0,0,0
Methylocella sp. BL2-01,0,0,0
Salmonella enterica subsp. enterica serovar Agona str. SL483-08,0,0,0
Clostridium difficile strain R20291-08,0,0,0
Anoxybacillus flavithermus strain WK1-08,0,0,0
Shewanella sp. MR-1-01,0,0,0
Sebaldella termitidis strain ATCC 33386-08,0,0,0
Shewanella baltica strain OS155-01,0,0,0
Acidaminococcus fermentans strain DSM 20731-01,0,0,0
Shewanella baltica strain OS223-01,0,0,0
Neisseria meningitidis strain alpha14-01,0,0,0
Anaeromyxobacter sp. K-08,0,0,0
Anaeromyxobacter sp. Fw109-5-08,0,0,0
Neisseria gonorrhoeae strain NCCP11945-01,0,0,0
Staphylococcus aureus subsp. aureus str. MW2-30,0,0,0
Escherichia coli O157:H7 EDL933-08,0,0,0
Caulobacter sp. K31-01,0,0,0
Shewanella sp. MR-4-01,0,0,0
Brucella melitensis strain ATCC 23457-01,0,0,0
Escherichia coli O157:H7 str. EC4115-08,0,0,0
Moorella thermoacetica strain ATCC 39073-08,0,0,0
Rhizobium leguminosarum bv. trifolii strain WSM1325-01,0,0,0
Erwinia pyrifoliae strain Ep1/96-01,0,0,0
Rickettsia africae ESF-5-08,0,0,0
Francisella tularensis subsp. tularensis strain WY96-3418-01,0,0,0
Yersinia enterocolitica subsp. enterocolitica strain 8081-01,0,0,0
Rickettsia felis strain URRWXCal2-01,0,0,0
Staphylococcus lugdunensis strain HKU09-01-30,0,0,0
Clostridium difficile strain CD196-08,0,0,0
Streptococcus zooepidemicus-08,0,0,0
Rhizobium etli strain CIAT 652-01,0,0,0
Methylobacterium sp. CM4-08,0,0,0
Myxococcus xanthus strain DK 1622-08,0,0,0
Thermomicrobium roseum DSM 5159-30,0,0,0
Bartonella henselae strain Houston-1-01,0,0,0
Acinetobacter baumannii strain ATCC 17978-01,0,0,0
Desulfovibrio vulgaris vulgaris (strain Hildenborough)-08,0,0,0
Synechocystis sp.PCC6803-01,0,0,0
Bacillus cytotoxis NVH 391-98-30,0,0,0
Synechocystis sp. PCC 7942-01,0,0,0
Geobacillus sp. Y412MC10-30,0,0,0
Thermocrinis albus strain DSM 14484-30,0,0,0
Bacteroides vulgatus strain ATCC 8482-01,0,0,0
Streptococcus suis strain 05ZYH33-08,0,0,0
Bradyrhizobium sp. BTAi1-01,0,0,0
Geobacillus sp. WCH70-01,0,0,0
Geobacillus sp. WCH70-08,0,0,0
Syntrophomonas wolfei subsp. wolfei strain Goettingen-08,0,0,0
Desulfotomaculum acetoxidans strain DSM 771-08,0,0,0
Neorickettsia risticii strain Illinois-01,0,0,0
Shewanella baltica strain OS185-01,0,0,0
Chloroherpeton thalassium strain ATCC 35110-01,0,0,0
bacterium EX-H1-08,0,0,0
Rickettsia akari strain Hartford-01,0,0,0
Desulfovibrio desulfuricans subsp. desulfuricans strain ATCC 27774-01,0,0,0
Prochlorococcus marinus str. NATL1A-01,0,0,0
Rickettsia rickettsii strain 'Sheila Smith'-08,0,0,0
Pelotomaculum thermopropionicum strain SI-08,0,0,0
Variovorax paradoxus strain S110-01,0,0,0
Burkholderia ambifaria strain MC40-6-08,0,0,0
Chloroflexus aurantiacus strain J-10-fl-08,0,0,0
Minibacterium massiliensis-01,0,0,0
Leptospira interrogans serovar Copenhageni strain Fiocruz L1-130-01,0,0,0
Candidatus Blochmannia pennsylvanicus strain BPEN-01,0,0,0
Rothia mucilaginosa strain DY-18-08,0,0,0
Alicyclobacillus acidocaldarius subsp. acidocaldarius strain DSM 446-08,0,0,0
Eggerthella lenta strain DSM 2243-08,0,0,0
Salmonella enterica subsp. enterica serovar Choleraesuis strain SC-B67-30,0,0,0
Thermus thermophilus HB8-08,0,0,0
Escherichia coli UMN026-08,0,0,0
Dickeya dadantii strain Ech703-01,0,0,0
Shewanella putrefaciens strain CN-32-01,0,0,0
Comamonas testosteroni strain CNB-2-01,0,0,0
Methanothrix thermophila PT-08,0,0,0
Ralstonia solanacearum strain GMI1000-30,0,0,0
Anaerocellum thermophilum strain DSM 6725-30,0,0,0
Magnetococcus sp. MC-1-01,0,0,0
Wautersia taiwanensis (Chen et al. 2001) Vaneechoutte et al. 2004-01,0,0,0
Sulfurihydrogenibium sp. YO3AOP1-30,0,0,0
Prochlorococcus sp. MIT9312-01,0,0,0
Geobacillus thermodenitrificans strain NG80-2-01,0,0,0
Gemmatimonas aurantiaca strain T-27-01,0,0,0
Escherichia coli O127:H6 strain E2348/69-08,0,0,0
Salmonella enterica subsp. enterica serovar Gallinarum strain 287/91-08,0,0,0
Burkholderia mallei strain SAVP1-08,0,0,0
Desulfovibrio magneticus strain RS-1-30,0,0,0
Prochlorococcus marinus str. MIT 9301-01,0,0,0
Frankia sp. CcI3-08,0,0,0
Ammonifex degensii strain KC4-08,0,0,0
Eubacterium eligens strain ATCC 27750-08,0,0,0
Rhodopseudomonas palustris strain CGA009-01,0,0,0
bacterium Ellin6076-08,0,0,0
Erwinia tasmaniensis strain Et1/99-01,0,0,0
Rhodopseudomonas palustris strain HaA2-01,0,0,0
Pelobacter carbinolicus strain DSM 2380-01,0,0,0
Wautersia eutropha H16-01,0,0,0
Polaromonas sp. JS666-01,0,0,0
Corynebacterium jeikeium strain K411-08,0,0,0
Eubacterium eligens strain ATCC 27750-30,0,0,0
Synechococcus sp. PCC 7425-01,0,0,0
Bacillus cereus strain Q1-30,0,0,0
Clostridium botulinum E3 strain Alaska E43-30,0,0,0
Synechococcus sp. strain RF-1-01,0,0,0
Kineococcus-like str. SRS30216-08,0,0,0
Polaromonas naphthalenivorans strain CJ2-01,0,0,0
Roseiflexus sp. strain RS-1-08,0,0,0
Shewanella trabarsenatis-01,0,0,0
Corynebacterium jeikeium strain K411-30,0,0,0
Micrococcus luteus strain NCTC 2665-08,0,0,0
Thermus thermophilus strain HB27-08,0,0,0
Carboxydothermus hydrogenoformans str. Z-2901-01,0,0,0
Methanospirillum hungatei strain JF-1-08,0,0,0
Bradyrhizobium japonicum str. USDA 110-01,0,0,0
Clostridium botulinum B strain Eklund 17B-08,0,0,0
Dehalococcoides sp. GT-08,0,0,0
Bifidobacterium lactis AD011-30,0,0,0
Yersinia pseudotuberculosis strain PB1/+-01,0,0,0
Beutenbergia cavernae strain DSM 12333-08,0,0,0
Salinibacter ruber Anton et al. 2002-08,0,0,0
Thermoanaerobacter tengcongensis strain MB4-08,0,0,0
Pectobacterium wasabiae strain WPP163-01,0,0,0
Saccharopolyspora erythraea strain NRRL 2338-08,0,0,0
Pediococcus pentosaceus strain ATCC 25745-08,0,0,0
Gordonia bronchialis strain DSM 43247-08,0,0,0
Shewanella baltica strain OS195-01,0,0,0
Nitratiruptor sp. SB155-2-01,0,0,0
Diaphorobacter sp. TPSY-01,0,0,0
Bacillus pumilus strain SAFR-032-30,0,0,0
Bradyrhizobium sp. ORS278-01,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain JB197-30,0,0,0
Saccharomonospora viridis strain DSM 43017-30,0,0,0
Cyanothece sp. BH68K-01,0,0,0
Rhodopseudomonas palustris strain BisA53-01,0,0,0
Burkholderia sp. STM815-01,0,0,0
Helicobacter pylori strain Shi470-08,0,0,0
Salinispora arenicola strain CNS-205-30,0,0,0
Ehrlichia canis strain Jake-01,0,0,0
Deinococcus geothermalis strain DSM 11300-01,0,0,0
Lactobacillus plantarum strain JDM1-30,0,0,0
Thermoplasma volcanium strain GSS1-30,0,0,0
Rhodopseudomonas palustris strain BisB18-01,0,0,0
Listeria monocytogenes strain HCC23-08,0,0,0
Chlorobium phaeobacteroides strain BS1-01,0,0,0
Brevibacillus brevis strain NBRC 100599-08,0,0,0
Helicobacter hepaticus str. ATCC 51449-08,0,0,0
Prosthecochloris vibrioformis DSM 265-01,0,0,0
Exiguobacterium strain 255-15-08,0,0,0
bacterium CBDB1-08,0,0,0
Neisseria gonorrhoeae strain FA 1090-01,0,0,0
Pantoea ananatis strain LMG 20103-01,0,0,0
Streptomyces coelicolor A3(2)-30,0,0,0
Methylobacterium nodulans strain ORS 2060-01,0,0,0
Desulfovibrio magneticus strain RS-1-08,0,0,0
Methanosarcina barkeri strain Fusaro-08,0,0,0
Methanosarcina mazei strain Go1-08,0,0,0
Synechococcus sp. OS-type A strain JA-3-3Ab-01,0,0,0
Rhodopseudomonas palustris strain TIE-1-01,0,0,0
Herpetosiphon aurantiacus DSM 785-08,0,0,0
Desulfovibrio vulgaris subsp. vulgaris DP4-08,0,0,0
Rhizobium leguminosarum bv. viciae str. 3841-01,0,0,0
Methylobacterium radiotolerans strain JCM 2831-01,0,0,0
Campylobacter lari strain RM2100-08,0,0,0
korarchaeote OPF1-KOR-08,0,0,0
Mycobacterium avium str. 104-30,0,0,0
Rickettsia conorii strain Malish 7-08,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain JB197-08,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain L550-30,0,0,0
Acidothermus cellulolyticus strain 11B-01,0,0,0
Cronobacter turicensis z3032-01,0,0,0
Bdellovibrio bacteriovorus strain HD100-01,0,0,0
Bordetella pertussis Tohama I-01,0,0,0
Gordonia bronchialis strain DSM 43247-30,0,0,0
Neorickettsia sennetsu str. Miyayama-01,0,0,0
Helicobacter pylori strain G27-08,0,0,0
Petrotoga mobilis strain SJ95-08,0,0,0
Bacteroides fragilis strain YCH46-01,0,0,0
Clostridium perfringens strain ATCC 13124-08,0,0,0
Deferribacter desulfuricans strain SSM1-01,0,0,0
Bacillus tusciae strain DSM 2912-08,0,0,0
Corynebacterium glutamicum strain R-30,0,0,0
Eubacterium rectale strain ATCC 33656-08,0,0,0
Prochlorococcus sp. NATL2A-01,0,0,0
Xylella fastidiosa strain M12-01,0,0,0
Aquifex aeolicus str. VF5-08,0,0,0
Thermoplasma acidophilum strain DSM 1728-30,0,0,0
Geobacillus sp. Y412MC10-08,0,0,0
Desulfitobacterium hafniense DSM 10664-08,0,0,0
Lactococcus lactis subsp. lactis strain Il1403-30,0,0,0
Thermomicrobium roseum DSM 5159-08,0,0,0
Streptosporangium roseum strain DSM 43021-08,0,0,0
Clostridium perfringens str. 13-30,0,0,0
Enterobacter sp. 638-01,0,0,0
Chlorobium chlorochromatii strain CaD3-01,0,0,0
Haloquadratum walsbyi strain DSM 16790-08,0,0,0
Actinobacillus pleuropneumoniae serovar 3 str. JL03-01,0,0,0
Helicobacter hepaticus str. ATCC 51449-01,0,0,0
Aciduliprofundum boonei strain T469-01,0,0,0
Mycobacterium smegmatis strain MC2 155-08,0,0,0
Leptospira biflexa serovar Patoc strain Patoc1-01,0,0,0
Brucella abortus strain S19-30,0,0,0
Bacillus amyloliquefaciens strain FZB42-08,0,0,0
Slackia heliotrinireducens strain DSM 20476-08,0,0,0
Geobacter lovleyi strain SZ-01,0,0,0
Nitrobacter hamburgensis strain X14-01,0,0,0
Propionibacterium acnes strain KPA171202-01,0,0,0
Macrococcus caseolyticus strain JCSC5402-08,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-C-08,0,0,0
Rubrobacter xylanophilus strain DSM 9941-01,0,0,0
Treponema denticola str. ATCC 35405-08,0,0,0
Clostridium difficile strain 630-08,0,0,0
Salinospora sp. CNB440-08,0,0,0
Bacteroides fragilis strain NCTC 9343-01,0,0,0
Gloeobacter violaceus strain PCC 7421-01,0,0,0
Heliobacterium modesticaldum strain Ice1-08,0,0,0
Cryptobacterium curtum strain DSM 15641-08,0,0,0
Verrucomicrobiales str. PB90-1-01,0,0,0
Methanocaldococcus fervens strain AG86-08,0,0,0
Streptococcus gordonii str. Challis substr. V288-30,0,0,0
Thermotoga sp. RKU-1-08,0,0,0
Clostridium phytofermentans strain ISDg-08,0,0,0
Neisseria meningitidis serogroup A strain Z2491-01,0,0,0
Methylobacterium sp. 4-46-01,0,0,0
Stenotrophomonas maltophilia strain K279a-01,0,0,0
Dickeya zeae strain Ech1591-01,0,0,0
Desulfobacterium autotrophicum strain HRM2-01,0,0,0
Frankia sp. EAN1pec-08,0,0,0
Mycobacterium tuberculosis strain KZN 1435-08,0,0,0
Xylanimonas cellulosilytica strain DSM 15894-08,0,0,0
Methylobacterium sp. BJ001-01,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-1-30,0,0,0
Ralstonia solanacearum strain GMI1000-01,0,0,0
Bacillus pseudofirmus strain OF4-01,0,0,0
Bacillus sp. KSM-K16-08,0,0,0
Sanguibacter keddieii strain DSM 10542-08,0,0,0
Wolinella succinogenes strain DSM 1740-01,0,0,0
Exiguobacterium sp. AT1b-08,0,0,0
Natronomonas pharaonis strain DSM 2160-08,0,0,0
Xylella fastidiosa str. Temecula1-01,0,0,0
Burkholderia mallei strain NCTC 10247-08,0,0,0
Symbiobacterium thermophilum strain IAM 14863-08,0,0,0
Burkholderia sp. 383-01,0,0,0
Bacillus cytotoxis NVH 391-98-08,0,0,0
Prochlorococcus marinus subsp. marinus str. SS120-01,0,0,0
Bacillus megaterium strain QM B1551-08,0,0,0
Escherichia coli strain BW2952-08,0,0,0
Mycobacterium tuberculosis strain F11-08,0,0,0
Xylella fastidiosa 9a5c-01,0,0,0
Burkholderia multivorans strain ATCC 17616-08,0,0,0
methanogenic archaeon strain SANAE-08,0,0,0
Listeria monocytogenes strain Clip80459-01,0,0,0
Burkholderia pseudomallei strain 1710b-08,0,0,0
Candidatus Riesia pediculicola USDA-08,0,0,0
Acidovorax citrulli strain AAC00-1-01,0,0,0
Brachybacterium faecium strain DSM 4810-08,0,0,0
Staphylococcus saprophyticus subsp. saprophyticus strain ATCC 15305-08,0,0,0
Corynebacterium efficiens strain YS-314-08,0,0,0
Dickeya dadantii strain Ech586-01,0,0,0
Anaplasma phagocytophilum str. HZ-01,0,0,0
Listeria monocytogenes strain 4b F2365-08,0,0,0
Buchnera aphidicola str. Cc (Cinara cedri)-08,0,0,0
Caldivirga maquilingensis strain IC-167-08,0,0,0
Arthrobacter aurescens strain TC1-30,0,0,0
Methanococcus maripaludis strain C5-08,0,0,0
Streptomyces griseus subsp. griseus strain NBRC 13350-30,0,0,0
Lactobacillus rhamnosus strain GG-30,0,0,0
Leptospira interrogans serovar Lai str. 56601-01,0,0,0
Archaeoglobus profundus strain DSM 5631-30,0,0,0
Stenotrophomonas maltophilia strain R551-3-01,0,0,0
Lawsonia intracellularis strain PHE/MN1-00-08,0,0,0
Erwinia amylovora strain ATCC 49946-01,0,0,0
Paenibacillus sp. JDR-2-01,0,0,0
Leifsonia xyli subsp. xyli strain CTCB07-08,0,0,0
Geobacter metallireducens strain GS-15-01,0,0,0
Salinispora arenicola strain CNS-205-08,0,0,0
Lawsonia intracellularis strain PHE/MN1-00-01,0,0,0
Leptospira biflexa serovar Patoc strain Paris-01,0,0,0
Pectobacterium carotovorum subsp. carotovorum strain PC1-01,0,0,0
Fusobacterium nucleatum subsp. nucleatum str. ATCC 25586-08,0,0,0
epsilon proteobacterium AmH-01,0,0,0
Anaplasma marginale subsp. centrale str. Israel-01,0,0,0
Streptococcus suis strain BM407-08,0,0,0
Escherichia coli 55989-30,0,0,0
Campylobacter jejuni subsp. jejuni strain 81116-08,0,0,0
Citrobacter rodentium strain ICC168-01,0,0,0
Campylobacter fetus subsp. fetus strain 82-40-08,0,0,0
Thermomonospora curvata strain DSM 43183-01,0,0,0
Thermodesulfovibrio yellowstonii DSM 11347-01,0,0,0
Pectobacterium carotovora subsp. atroseptica str. SCRI1043-01,0,0,0
Geobacillus sp. Y412MC61-30,0,0,0
Corynebacterium efficiens strain YS-314-30,0,0,0
Mycobacterium bovis BCG strain Tokyo 172-08,0,0,0
Desulfohalobium retbaense strain DSM 5692-01,0,0,0
Bordetella parapertussis strain 12822-01,0,0,0
Chlamydia trachomatis strain 434/Bu-08,0,0,0
Photorhabdus asymbiotica Fischer-Le Saux et al. 1999 emend. Akhurst et al. 2004-01,0,0,0
