OTU	North_of_PF 01	North_of_PF 08	North_of_PF 30	South_of_PF 01	South_of_PF 08	South_of_PF 30
Salmonella enterica subsp. enterica serovar Schwarzengrund strain CVM19633	0	0.0001483	0	0.0003435	0.0006092	0.0002175
Listeria seeligeri serovar 1/2b strain SLCC3954	0.0003902	0.0002575	0.0002398	0	0.0002095	0.0004469
Staphylococcus epidermis RP62A	0	0.000193	0	0.0001535	0	0
Thermotoga sp. RKU-1	0	0.0007801	0	0.0002351	0.000552	0
Escherichia coli strain SMS-3-5	0	0	0	0.0001807	0.0002496	0
Clostridium botulinum A3 strain Loch Maree	0.0001012	0.0001576	0	0	0.0001444	0.0005695
Lactobacillus johnsonii strain FI9785	0	0	0	0	0	0
Mycobacterium tuberculosis CSU#93	0	0.0001956	0.0004088	0	0	0.0004642
Mycoplasma mycoides subsp. mycoides SC strain PG1	0	0	0	0	0.0008771	0
Streptococcus dysgalactiae subsp. equisimilis strain GGS_124	0	0	0	0	0.0008436	0
Leptotrichia buccalis strain C-1013-b	0.0004203	0	0.0004402	0.0001552	0	0
unidentified eubacterium	0.001943	0	0	0	0	0
Proteinoruptor kamchatkensis 1221n	0	0	0	0.0002076	0	0
Campylobacter jejuni subsp. jejuni strain NCTC 11168	0.0001892	0	0	0.0001234	0.000412	0
Escherichia coli strain IAI1	0	0.0002919	0	0	0.0001204	0.0004526
Escherichia coli strain UTI89	0	0	0.001786	0	0	0
Lactococcus lactis subsp. cremoris strain MG1363	0	0	0	0.0002084	0	0.0008406
Chlamydia trachomatis MoPn strain Nigg	0	0	0	0.0003729	0	0
Bacillus medusa	0	0	0	0.0002426	0	0
Bacillus cereus strain B4264	0	0	0	0	0.000196	0
Clostridium kluyveri strain NBRC 12016	0	0.0008229	0	0	0.000282	0
Campylobacter jejuni subsp. jejuni strain 81-176	0	0	0	0.0001812	0.0007262	0
Clostridium botulinum A strain Hall	0	0.0001227	0	0	0.0009064	0
Chlamydophila pneumoniae TW183	0	0	0	0	0	0
Methanococcus maripaludis strain C6	0	0	0	0	0.0008348	0
Helicobacter pylori strain G27	0	0.001258	0	0	0	0
Listeria monocytogenes strain EGD-e	0	0	0	0	0.0001934	0
Bacillus thuringiensis serovar konkukian strain 97-27	0	0	0	0	0	0.0008238
Clostridium botulinum A strain ATCC 3502	0	0	0	0	0	0.0006783
Clostridium botulinum Ba4 strain 657	0	0	0	0.0001033	0	0.00057
Mimi	0	0	0	0.000652	0	0
Caldivirga maquilingensis strain IC-167	0	0.0008865	0	0	0	0
Listeria innocua strain Clip11262	0	0.0003827	0	0	0.0004241	0
Yersinia pestis bv. Microtus str. 91001	0	0	0	0.0001958	0.0005822	0
Nanoarchaeum equitans str. Kin4-M	0	0	0	0.0006552	0	0
Lactobacillus rhamnosus strain Lc 705	0	0	0	0	0	0
Lactobacillus gasseri strain ATCC 33323	0	0	0	0	0.0008589	0
not Oenococcus oeni MCW	0	0	0	0.0001018	0.0007273	0
Lactobacillus sakei subsp. sakei strain 23K	0	0	0	0	0	0
Clostridium botulinum A strain ATCC 19397	0.0001228	0	0	0	0	0
Sodalis glossinidius Dale and Maudlin 1999	0	0	0	0.0008289	0	0
Tropheryma whipplei strain Twist	0	0	0	0	0	0
Streptomyces rochei Berger et al. 1953	0	0	0	0	0	0
Onion yellows phytoplasma str. 'onion yellows'	0	0	0	0.0003333	0	0
Streptococcus pneumoniae TIGR4	0	0	0	0	0.0007529	0
Streptococcus sanguinis strain SK36	0.0002845	0.0004906	0	0	0.0002854	0
Aeropyrum pernix strain K1	0	0.0003344	0	0	0	0
Rickettsia rickettsii strain Iowa	0	0	0	0.0007412	0	0
Borrelia hermsii strain DAH	0.0003685	0	0	0	0	0
Bacillus cereus strain AH820	0	0	0	0	0.0003345	0
Escherichia coli strain S88	0	0	0	0	0.0006391	0
Clostridiales genomosp. BVAB3 str. UPII9-5	0	0	0	0.0001007	0	0
Escherichia coli strain ATCC 8739	0	0.0001184	0.0003915	0	0.000234	0
Listeria monocytogenes strain 4b F2365	0	0.000826	0	0	0.0001168	0
Escherichia coli strain E24377A	0.0001364	0	0	0.0001035	0	0
Salmonella enterica subsp. enterica serovar Newport strain SL254	0	0	0	0.0001529	0.00041	0
Chlamydia trachomatis strain 434/Bu	0	0.0008363	0	0	0	0
Mycoplasma penetrans strain HF-2	0	0	0	0	0	0
Bacillus cereus strain G9842	0	0.0003056	0	0	0	0
Streptococcus agalactiae str. A909	0	0	0.000781	0	0	0
Salmonella typhi CT18	0	0.0001687	0.0002531	0	0.0003348	0
Treponema pallidum subsp. pallidum str. Nichols	0	0	0	0	0	0
Methanococcus maripaludis strain S2	0	0	0	0	0.0003726	0
Borrelia recurrentis strain A1	0	0.0008438	0	0	0	0
Bacillus cereus ATCC 14579	0	0.000235	0	0	0	0
Haloterrigena turkmenica strain DSM 5511	0	0	0	0	0	0.0001101
Lactococcus lactis subsp. lactis strain KF147	0	0.0001799	0	0	0.0001119	0
Mycobacterium bovis subsp. bovis str. AF2122/97	0	0	0	0	0	0
Clostridium botulinum F strain Langeland	0	0.0001078	0	0	0	0
Gardnerella vaginalis strain 409-05	0.0003173	0	0	0	0.0001666	0
Chlamydia trachomatis strain B/Jali20/OT	0	0	0	0	0	0
Lactococcus lactis subsp. cremoris strain SK11	0	0.0001851	0.0003712	0	0	0
Corynebacterium glutamicum ATCC 13032	0	0	0.0003277	0	0	0
Sulfolobus solfataricus strain P2	0	0.0004696	0	0	0	0
Mycobacterium tuberculosis strain H37Rv	0	0.0001822	0.0001071	0	0	0
Mycoplasma capricolum subsp. capricolum strain ATCC 27343	0	0	0	0.0003955	0	0
Ignicoccus sp. Kin4-I	0	0	0	0.0003693	0	0
Chlamydophila abortus str. S26/3	0	0	0	0	0	0
Bacillus anthracis strain CDC 684	0.0001284	0	0	0	0	0
Staphylococcus aureus subsp. aureus strain Newman	0	0	0	0	0.0002724	0
Lactobacillus salivarius subsp. salivarius UCC118	0.0002284	0.0002879	0	0	0	0
Mycoplasma gallisepticum strain R(low)	0	0	0	0	0	0
Listeria welshimeri serovar 6b strain SLCC5334	0	0	0	0.0001375	0	0
Borrelia burgdorferi strain ZS7	0	0.0003596	0	0	0	0
Chlamydophila pneumoniae J138	0	0	0	0.0003097	0	0
Candidatus Hodgkinia cicadicola strain Dsem	0	0	0	0.0003055	0	0
Listeria monocytogenes strain 08-5578	0	0.0002432	0	0	0	0
Ureaplasma urealyticum ATCC 700970	0.0005035	0	0	0	0	0
Shigella boydii strain Sb227	0	0	0	0	0.0002387	0
Escherichia coli strain 536	0	0	0	0	0	0.0001184
Chlamydophila felis strain Fe/C-56	0	0	0	0.0002908	0	0
Streptococcus thermophilus strain LMG 18311	0	0.0004534	0	0	0	0
Escherichia coli strain APEC O1	0	0	0	0	0.0001741	0
Lactobacillus crispatus strain ST1	0.0004366	0	0	0	0	0
Bacillus cereus strain E33L	0	0	0.0001431	0	0	0
Thermoproteus neutrophilus strain V24Sta	0	0	0	0	0	0
Shigella sonnei strain Ss046	0	0	0.0003766	0	0	0
Mycoplasma pulmonis strain UAB CTIP	0	0	0	0.0002301	0	0
Bifidobacterium animalis subsp. lactis strain DSM 10140	0	0.000372	0	0	0	0
Pseudomonas resinovorans Delaporte et al. 1961	0	0	0	0.000219	0	0
Helicobacter pylori strain P12	0	0	0	0	0	0
Mycobacterium leprae strain TN	0.0001549	0	0	0	0	0
Streptococcus pyogenes strain MGAS2096	0	0.0003356	0	0	0	0
Escherichia coli strain MG1655	0	0	0	0	0	0
Lactobacillus helveticus strain DPC 4571	0	0	0	0	0	0
Staphylococcus aureus strain RF122	0	0	0	0	0.000196	0
Phytoplasma solani australensis	0	0	0	0	0.0001079	0
Thermotoga sp. RKU-10	0	0.0002575	0	0	0	0
Streptococcus pyogenes str. SSI-1	0	0	0	0	0.0001724	0
Bifidobacterium animalis subsp. lactis strain Bl-04	0	0	0	0.0001503	0	0
Lactobacillus plantarum strain WCFS1	0	0.0001911	0	0	0	0
Treponema pallidum subsp. pallidum strain SS14	0	0	0	0	0	0
Lactobacillus johnsonii NCC 533	0	0	0	0.0001523	0	0
Escherichia coli str. B substr. REL606	0	0	0	0	0	0
Salmonella enterica subsp. enterica serovar Paratypi A str. ATCC 9150	0	0	0	0	0	0.0001067
Klebsiella pneumoniae (Schroeter 1886) Trevisan 1887	0.0002485	0	0	0	0	0
Lactobacillus reuteri strain JCM 1112	0	0.0002364	0	0	0	0
Escherichia coli strain HS	0	0	0.0002243	0	0	0
Escherichia coli O157:H7 strain TW14359	0	0	0	0.0001161	0	0
Streptococcus pyogenes MGAS8232	0	0	0	0	0	0
Streptococcus pyogenes strain NZ131	0	0	0	0	0	0
Lactobacillus reuteri strain DSM 20016	0	0	0	0	0	0
Chlamydophila caviae str. GPIC	0	0	0	0.0001212	0	0
Aster yellows witches'-broom phytoplasma str. AYWB	0	0	0	0	0	0
Shigella flexneri 5 strain 8401	0	0	0	0	0	0
Helicobacter pylori strain B38	0	0	0	0	0	0
Halobacterium salinarum strain R1	0	0.0001361	0	0	0	0
Mycoplasma mobile strain 163K	0.0001219	0	0	0	0	0
Streptococcus agalactiae str. 2603V/R	0	0	0	0	0	0
Staphylococcus aureus subsp. aureus strain MRSA252	0	0	0	0	0	0
Mycoplasma arthritidis strain 158L3-1	0.0001094	0	0	0	0	0
Schizoplasma hominis	0	0	0	0	0	0
Streptococcus pyogenes str. MGAS315	0	0	0	0	0	0
Streptococcus agalactiae str. NEM316	0	0	0	0	0	0
Lactobacillus delbrueckii subsp. bulgaricus strain ATCC BAA-365	0	0	0	0	0	0
Sulfolobus islandicus strain M.14.25	0	0	0	0	0	0
Escherichia coli strain W3110	0	0	0	0	0	0
