Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl-30,0,0,0.01
anaerobic dimethyl sulfoxide reductase [EC:1.8.99.-]-08,0,0,0.01
homogentisate 1;2-dioxygenase [EC:1.13.11.5]-01,0.01,0,0.01
2-octaprenyl-3-methyl-6-methoxy-1;4-benzoquinol hydroxylase-01,0,0,0.01
beta-1;4-mannosyltransferase [EC:2.4.1.142]-08,0,0,0.01
ferredoxin; 2Fe-2S-01,0.01,0.01,0.01
"DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]-08",0,0,0.01
small subunit ribosomal protein S6-01,0.01,0.01,0.01
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase-01,0.01,0.01,0.01
dipeptide transport system permease protein-30,0,0,0.01
two-component system; cell cycle response regulator CtrA-08,0,0,0.01
dynein intermediate chain 2; axonemal-08,0,0,0.01
ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]-01,0,0,0.01
alkanesulfonate monooxygenase [EC:1.14.14.5]-30,0,0,0.01
O-antigen biosynthesis protein WbqP-08,0,0,0.01
guanine deaminase [EC:3.5.4.3]-01,0,0,0.01
T-complex protein 1 subunit alpha-30,0,0,0.01
carbonyl reductase (NADPH) [EC:1.1.1.184]-08,0,0,0.01
leukotriene-A4 hydrolase [EC:3.3.2.6]-30,0,0,0.01
glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15]-30,0,0,0.01
minichromosome maintenance protein 3-30,0,0,0.01
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]-30,0,0.01,0.01
7-cyano-7-deazaguanine reductase [EC:1.7.1.13]-01,0.01,0,0.01
photosynthetic reaction center L subunit-08,0,0,0.01
dynein heavy chain 1; cytosolic-08,0,0,0.01
ubiquitin-conjugating enzyme (huntingtin interacting protein 2)-08,0,0,0.01
serine protease SohB [EC:3.4.21.-]-30,0,0,0.01
histone acetyltransferase [EC:2.3.1.48]-30,0,0,0.01
endoglucanase [EC:3.2.1.4]-08,0,0,0.01
flagella basal body P-ring formation protein FlgA-08,0,0,0.01
LemA protein-30,0,0,0.01
peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]-30,0,0,0.01
V-type H+-transporting ATPase subunit A [EC:3.6.3.14]-30,0,0,0.01
mevalonate kinase [EC:2.7.1.36]-01,0,0,0.01
elongator complex protein 3 [EC:2.3.1.48]-08,0,0,0.01
succinate dehydrogenase (ubiquinone) iron-sulfur protein-30,0,0,0.01
molybdate transport system permease protein-01,0,0,0.01
general secretion pathway protein E-01,0.01,0.01,0.01
TdcF protein-01,0.01,0,0.01
ornithine carbamoyltransferase [EC:2.1.3.3]-30,0,0,0.01
general secretion pathway protein K-30,0,0,0.01
bacterioferritin-30,0,0,0.01
copper resistance protein B-30,0,0,0.01
dynein light intermediate chain; axonemal-30,0,0,0.01
phosphate transport system permease protein-01,0,0,0.01
exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]-30,0,0,0.01
periplasmic protein TorT-01,0,0,0.01
phosphoserine phosphatase [EC:3.1.3.3]-01,0,0,0.01
T-complex protein 1 subunit delta-30,0,0,0.01
nitric oxide dioxygenase [EC:1.14.12.17]-08,0,0,0.01
T-complex protein 1 subunit alpha-08,0,0,0.01
insulysin [EC:3.4.24.56]-08,0,0,0.01
V-type H+-transporting ATPase subunit D [EC:3.6.3.14]-08,0,0,0.01
heat shock protein HspQ-30,0,0,0.01
arginine:pyruvate transaminase [EC:2.6.1.84]-30,0,0,0.01
tagatose 6-phosphate kinase [EC:2.7.1.144]-08,0,0,0.01
NADH dehydrogenase I subunit C [EC:1.6.5.3]-30,0,0,0.01
glucokinase [EC:2.7.1.2]-01,0.01,0,0.01
carbon-monoxide dehydrogenase small subunit [EC:1.2.99.2]-30,0,0,0.01
tRNA (adenine-N1-)-methyltransferase [EC:2.1.1.36]-08,0,0,0.01
ribosome-binding factor A-01,0.01,0.01,0.01
adenosylcobinamide kinase / adenosylcobinamide-phosphate-30,0,0,0.01
phenylacetate-CoA ligase [EC:6.2.1.30]-30,0,0,0.01
precorrin-6A synthase [EC:2.1.1.152]-08,0,0,0.01
ATP-dependent RNA helicase DDX41 [EC:3.6.1.-]-30,0,0,0.01
casein kinase 2; beta polypeptide-08,0,0,0.01
molybdopterin-guanine dinucleotide biosynthesis protein A-30,0,0,0.01
putative biotin biosynthesis protein BioY-30,0,0,0.01
putative spermidine/putrescine transport system ATP-binding protein-01,0.01,0.01,0.01
delta12-fatty acid dehydrogenase [EC:1.14.99.33]-08,0,0,0.01
calcium-dependent protein kinase [EC:2.7.11.1]-30,0,0,0.01
2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]-01,0,0,0.01
magnesium chelatase subunit I [EC:6.6.1.1]-01,0.01,0,0.01
RNA methyltransferase; TrmH family; group 2 [EC:2.1.1.-]-01,0.01,0.01,0.01
antibiotic transport system permease protein-01,0.01,0.01,0.01
5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]-30,0,0,0.01
conjugal transfer ATP-binding protein TraC-30,0,0,0.01
protocatechuate 3;4-dioxygenase; beta subunit [EC:1.13.11.3]-08,0,0,0.01
electron transport complex protein RnfG-30,0,0,0.01
20S proteasome subunit beta 2 [EC:3.4.25.1]-30,0,0,0.01
2-oxoisovalerate dehydrogenase E1 component; beta subunit-30,0,0,0.01
minichromosome maintenance protein 4 (cell division control protein-30,0,0,0.01
5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]-01,0.01,0,0.01
exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]-01,0,0,0.01
hemolysin III-30,0,0,0.01
large subunit ribosomal protein L36-30,0,0,0.01
cyclin B-30,0,0,0.01
hydroxyacylglutathione hydrolase [EC:3.1.2.6]-01,0.01,0.01,0.01
UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]-30,0,0,0.01
acyl-CoA oxidase [EC:1.3.3.6]-30,0,0,0.01
sigma-E factor negative regulatory protein RseC-08,0,0,0.01
putative sigma-54 modulation protein-01,0,0,0.01
ribosomal RNA large subunit methyltransferase F [EC:2.1.1.48]-30,0,0,0.01
photosystem II PsbK protein-30,0,0,0.01
tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]-30,0,0,0.01
cell division topological specificity factor-08,0,0,0.01
dihydropyrimidinase [EC:3.5.2.2]-01,0.01,0,0.01
CRP/FNR family transcriptional regulator; anaerobic regulatory-30,0,0,0.01
alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]-30,0,0.01,0.01
N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]-01,0.01,0.01,0.01
stress-induced-phosphoprotein 1-30,0,0,0.01
adenine deaminase [EC:3.5.4.2]-30,0,0,0.01
sarcosine oxidase; subunit delta [EC:1.5.3.1]-01,0.01,0.01,0.01
large subunit ribosomal protein L24-30,0,0,0.01
amyloid beta precursor protein binding protein 1-08,0,0,0.01
flagellar basal-body rod modification protein FlgD-30,0,0,0.01
3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]-30,0,0,0.01
elongator complex protein 3 [EC:2.3.1.48]-30,0,0,0.01
glucose-6-phosphate 1-epimerase [EC:5.1.3.15]-08,0,0,0.01
carboxylesterase type B [EC:3.1.1.1]-01,0,0.01,0.01
uridine kinase [EC:2.7.1.48]-30,0,0,0.01
alpha-L-fucosidase [EC:3.2.1.51]-30,0,0,0.01
8-amino-7-oxononanoate synthase [EC:2.3.1.47]-01,0,0,0.01
indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]-01,0.01,0,0.01
ATP-binding cassette; sub-family F; member 2-30,0,0,0.01
chalcone synthase [EC:2.3.1.74]-30,0,0,0.01
E3 ubiquitin-protein ligase HUWE1 [EC:6.3.2.19]-08,0,0,0.01
type IV pilus assembly protein PilF-08,0,0,0.01
pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]-08,0,0,0.01
lipopolysaccharide transport system ATP-binding protein-08,0,0,0.01
proline dehydrogenase [EC:1.5.99.8]-08,0.01,0.01,0.01
helicase [EC:3.6.1.-]-08,0,0,0.01
histone H2B-08,0,0,0.01
ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.1.-]-08,0,0,0.01
fatty acid desaturase (delta-4 desaturase) [EC:1.14.19.-]-30,0,0,0.01
aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]-08,0,0,0.01
thiol:disulfide interchange protein DsbA-30,0,0,0.01
tRNA pseudouridine synthase C [EC:5.4.99.12]-30,0,0,0.01
3-hydroxy-3-methylglutaryl-CoA reductase [EC:1.1.1.34]-30,0,0,0.01
flagellar biosynthesis protein FlhA-01,0.01,0,0.01
heptosyltransferase II [EC:2.4.-.-]-08,0,0,0.01
UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl 1-P-08,0,0,0.01
naphthoate synthase [EC:4.1.3.36]-30,0,0,0.01
STE24 endopeptidase [EC:3.4.24.84]-30,0,0,0.01
NADH dehydrogenase I subunit K [EC:1.6.5.3]-01,0.01,0.01,0.01
aromatic-amino-acid transaminase [EC:2.6.1.57]-30,0,0,0.01
methylmalonyl-CoA epimerase [EC:5.1.99.1]-08,0,0,0.01
DNA excision repair protein ERCC-2 [EC:3.6.1.-]-08,0,0,0.01
MSHA pilin protein MshC-08,0,0,0.01
chorismate mutase [EC:5.4.99.5]-30,0,0,0.01
thiol:disulfide interchange protein DsbC [EC:5.3.4.1]-01,0,0,0.01
biotin biosynthesis protein BioH-01,0,0,0.01
diphosphomevalonate decarboxylase [EC:4.1.1.33]-01,0,0,0.01
small subunit ribosomal protein S4e-08,0,0,0.01
molybdopterin-guanine dinucleotide biosynthesis protein A-01,0.01,0.01,0.01
trimethylamine-N-oxide reductase (cytochrome c) 2 [EC:1.7.2.3]-30,0,0,0.01
Fe/S biogenesis protein NfuA-01,0,0,0.01
large subunit ribosomal protein L32-30,0,0,0.01
large subunit ribosomal protein L5e-30,0,0,0.01
protocatechuate 4;5-dioxygenase; beta chain [EC:1.13.11.8]-08,0,0,0.01
Ca2+ transporting ATPase; plasma membrane [EC:3.6.3.8]-08,0,0,0.01
minichromosome maintenance protein 5 (cell division control protein-08,0,0,0.01
SprT protein-08,0,0,0.01
peptidyl-prolyl cis-trans isomerase-like 2 [EC:5.2.1.8]-08,0,0,0.01
dolichol-phosphate mannosyltransferase [EC:2.4.1.83]-30,0,0,0.01
penicillin-binding protein 1B [EC:2.4.1.129 3.4.-.-]-01,0,0,0.01
peptide chain release factor eRF subunit 1-30,0,0,0.01
electron transport complex protein RnfB-01,0.01,0,0.01
ribonuclease PH [EC:2.7.7.56]-01,0.01,0.01,0.01
sigma-54 specific transcriptional regulator; flagellar regulatory-30,0,0,0.01
ATP citrate (pro-S)-lyase [EC:2.3.3.8]-30,0,0,0.01
DNA repair protein REV1 [EC:2.7.7.-]-30,0,0,0.01
LacI family transcriptional regulator; gluconate utilization system-30,0,0,0.01
cb-type cytochrome c oxidase subunit II [EC:1.9.3.1]-08,0,0,0.01
DNA polymerase zeta subunit [EC:2.7.7.7]-30,0,0,0.01
glycerate kinase [EC:2.7.1.31]-01,0,0,0.01
peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8]-08,0,0,0.01
alpha 1;3-glucosidase [EC:3.2.1.84]-30,0,0,0.01
glutamate carboxypeptidase [EC:3.4.17.11]-30,0,0,0.01
transcription elongation regulator 1-08,0,0,0.01
kinesin family member 6/9-08,0,0,0.01
NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]-08,0,0,0.01
acetoacetyl-CoA reductase [EC:1.1.1.36]-30,0,0,0.01
MSHA pilin protein MshD-08,0,0,0.01
ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.1.-]-08,0,0,0.01
ElaA protein-08,0,0,0.01
neopullulanase [EC:3.2.1.135]-08,0,0,0.01
preprotein translocase subunit SecB-01,0.01,0.01,0.01
anaerobic nitric oxide reductase transcription regulator-30,0,0,0.01
photosystem II Psb27 protein-08,0,0,0.01
ATP-dependent RNA helicase [EC:3.6.1.-]-08,0,0,0.01
molybdate transport system permease protein-30,0,0,0.01
MSHA biogenesis protein MshM-30,0,0,0.01
phenylacetic acid degradation NADH oxidoreductase-01,0,0,0.01
alanine transaminase [EC:2.6.1.2]-08,0,0,0.01
N-acetylornithine carbamoyltransferase [EC:2.1.3.9]-08,0,0,0.01
pre-mRNA-splicing factor CDC5/CEF1-08,0,0,0.01
glutamine amidotransferase [EC:2.4.2.-]-30,0,0.01,0.01
xylose isomerase [EC:5.3.1.5]-01,0,0,0.01
AP-2 complex subunit mu-1-08,0,0,0.01
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]-30,0,0,0.01
integrator complex subunit 1-30,0,0,0.01
dTDP-4-dehydrorhamnose 3;5-epimerase [EC:5.1.3.13]-01,0.01,0.01,0.01
cupin 2 domain-containing protein-08,0,0,0.01
phenylalanine-4-hydroxylase [EC:1.14.16.1]-30,0,0,0.01
histone H3-30,0,0,0.01
aminoacylase [EC:3.5.1.14]-30,0,0,0.01
(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]-30,0,0,0.01
mandelate racemase [EC:5.1.2.2]-30,0,0,0.01
ABC-2 type transport system ATP-binding protein-01,0.01,0,0.01
beta-catenin-like protein 1-08,0,0,0.01
ubiquitin carboxyl-terminal hydrolase 4/11/15 [EC:3.1.2.15]-30,0,0,0.01
membrane dipeptidase [EC:3.4.13.19]-08,0,0,0.01
acyl-CoA thioesterase II [EC:3.1.2.-]-01,0,0,0.01
protein PsiE-01,0.01,0.01,0.01
trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44]-08,0,0,0.01
two-component system; NtrC family; sensor kinase [EC:2.7.13.3]-08,0,0,0.01
2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]-30,0,0,0.01
bacterioferritin-01,0.01,0,0.01
NIMA (never in mitosis gene a)-related kinase [EC:2.7.11.1]-30,0,0,0.01
para-aminobenzoate synthetase component II [EC:2.6.1.85]-30,0,0,0.01
ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.1.-]-30,0,0,0.01
CDP-glucose 4;6-dehydratase [EC:4.2.1.45]-01,0.01,0.01,0.01
paraquat-inducible protein B-30,0,0,0.01
tRNA-dihydrouridine synthase C [EC:1.-.-.-]-30,0,0,0.01
sulfonate/nitrate/taurine transport system permease protein-01,0.01,0,0.01
2-methylcitrate synthase [EC:2.3.3.5]-01,0.01,0.01,0.01
ubiquitin-like 1-activating enzyme E1 B [EC:6.3.2.19]-08,0,0,0.01
protein transport protein SEC61 subunit alpha-30,0,0,0.01
maleylacetoacetate isomerase [EC:5.2.1.2]-30,0,0,0.01
Bax protein-01,0,0,0.01
multiple antibiotic resistance protein-30,0,0,0.01
Rrf2 family transcriptional regulator; iron-sulfur cluster assembly-30,0,0,0.01
peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]-08,0,0,0.01
xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]-30,0,0,0.01
beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]-08,0,0,0.01
V-type H+-transporting ATPase subunit C [EC:3.6.3.14]-08,0,0,0.01
carbon starvation protein-30,0,0,0.01
transcriptional adapter 2-alpha-30,0,0,0.01
type VI secretion system protein VasG-30,0,0.01,0.01
threonine 3-dehydrogenase [EC:1.1.1.103]-01,0,0,0.01
kelch-like protein 18-08,0,0,0.01
thiosulfate sulfurtransferase [EC:2.8.1.1]-30,0,0,0.01
methylglyoxal synthase [EC:4.2.3.3]-30,0,0,0.01
nuclear factor of activated T-cells; cytoplasmic;-30,0,0,0.01
Rieske 2Fe-2S family protein-08,0,0,0.01
dTDP-4-dehydrorhamnose 3;5-epimerase [EC:5.1.3.13]-30,0,0,0.01
cytochrome P450; family 51 (sterol 14-demethylase) [EC:1.14.13.70]-30,0,0,0.01
lysine decarboxylase [EC:4.1.1.18]-08,0,0,0.01
translation initiation factor eIF-4A-08,0,0,0.01
type IV pilus assembly protein PilB-01,0.01,0.01,0.01
pyrroloquinoline-quinone synthase [EC:1.3.3.11]-08,0,0,0.01
NADH dehydrogenase I subunit C/D [EC:1.6.5.3]-01,0,0,0.01
E3 ubiquitin-protein ligase synoviolin [EC:6.3.2.19]-08,0,0,0.01
sec-independent protein translocase protein TatA-30,0,0,0.01
V-type H+-transporting ATPase subunit AC39 [EC:3.6.3.14]-08,0,0,0.01
CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase-01,0.01,0.01,0.01
large subunit ribosomal protein L34-01,0.01,0.01,0.01
phosphoribosylanthranilate isomerase [EC:5.3.1.24]-30,0,0,0.01
L-rhamnose mutarotase [EC:5.1.3.-]-08,0,0,0.01
FMN-dependent NADH-azoreductase [EC:1.7.-.-]-01,0.01,0.01,0.01
kinesin family member 4/7/21/27-30,0,0,0.01
molybdopterin oxidoreductase; membrane subunit [EC:1.2.7.-]-30,0,0,0.01
small subunit ribosomal protein S20-01,0.01,0.01,0.01
type IV pilus assembly protein PilO-08,0,0,0.01
lipoprotein NlpD-30,0,0,0.01
shikimate kinase [EC:2.7.1.71]-30,0,0,0.01
LysR family transcriptional regulator; positive regulator for ilvC-30,0,0,0.01
basic membrane protein A and related proteins-30,0,0,0.01
cobalamin biosynthesis protein CbiD-30,0,0,0.01
endoglucanase [EC:3.2.1.4]-30,0,0,0.01
thiamine transport system substrate-binding protein-30,0,0,0.01
Lrp/AsnC family transcriptional regulator; leucine-responsive-01,0,0,0.01
photosystem II PsbH protein-08,0,0,0.01
zinc transport system permease protein-30,0,0,0.01
cAMP-dependent protein kinase regulator-30,0.01,0,0
sec-independent protein translocase protein TatA-01,0.01,0.01,0
uridine kinase [EC:2.7.1.48]-01,0,0,0
DNA excision repair protein ERCC-3 [EC:3.6.1.-]-08,0,0,0
two-component system; NtrC family; response regulator PilR-08,0,0,0
ATP-dependent helicase HrpB [EC:3.6.1.-]-01,0,0,0
C4-dicarboxylate transporter; DctM subunit-30,0,0,0
acetolactate decarboxylase [EC:4.1.1.5]-08,0,0,0
nicotinamide mononucleotide transporter-01,0,0,0
ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.1.2.15]-08,0,0,0
small subunit ribosomal protein S2e-08,0,0,0
NADH dehydrogenase I subunit A [EC:1.6.5.3]-30,0,0,0
spermidine/putrescine transport system permease protein-08,0,0.01,0
serine-threonine kinase receptor-associated protein-08,0,0,0
FMN-dependent NADH-azoreductase [EC:1.7.-.-]-30,0,0,0
electron transport complex protein RnfC-01,0,0,0
V-type H+-transporting ATPase subunit E [EC:3.6.3.14]-30,0,0,0
two-component system; cell cycle response regulator-08,0,0,0
RNA methyltransferase; TrmH family-01,0,0,0
D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]-01,0,0,0
SH3 domain protein-08,0,0,0
outer membrane lipoprotein SlyB-08,0,0,0
homogentisate solanesyltransferase-30,0,0,0
translation initiation factor eIF-2 gamma subunit-30,0,0,0
sphinganine-1-phosphate aldolase [EC:4.1.2.27]-08,0,0,0
AP-1 complex subunit mu-30,0,0,0
MFS transporter; OPA family; solute carrier family 37-08,0,0,0
manganese/zinc/iron transport system substrate-binding protein-08,0,0,0
20S proteasome subunit alpha 6 [EC:3.4.25.1]-30,0,0,0
D-alanine transaminase [EC:2.6.1.21]-30,0,0,0
ataxia telangectasia mutated family protein [EC:2.7.11.1]-30,0,0,0
phosphonoacetate hydrolase [EC:3.11.1.2]-01,0,0,0
stringent starvation protein B-30,0,0,0
dimethylargininase [EC:3.5.3.18]-01,0,0,0
homeobox protein cut-like-08,0,0,0
YggT family protein-01,0.01,0.01,0
spermidine/putrescine transport system substrate-binding protein-08,0,0,0
putative two-component system response regulator-30,0,0,0
S-phase kinase-associated protein 1-30,0,0,0
ribose 5-phosphate isomerase B [EC:5.3.1.6]-01,0.01,0.01,0
fructose transport system ATP-binding protein-08,0,0,0
mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]-30,0,0,0
urea carboxylase [EC:6.3.4.6]-30,0,0,0
uracil phosphoribosyltransferase [EC:2.4.2.9]-30,0,0,0
phosphatidylglycerophosphatase A [EC:3.1.3.27]-30,0,0,0
NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:1.6.5.3 1.6.99.3]-08,0,0,0
CCR4-NOT transcription complex subunit 3-08,0,0,0
minichromosome maintenance protein 7 (cell division control protein-30,0,0,0
citryl-CoA lyase [EC:4.1.3.34]-30,0,0,0
succinate dehydrogenase (ubiquinone) flavoprotein subunit-08,0,0,0
mitogen-activated protein kinase [EC:2.7.11.24]-30,0,0,0
5'-AMP-activated protein kinase; catalytic alpha subunit-08,0,0,0
UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]-08,0,0,0
dipeptidyl-peptidase III [EC:3.4.14.4]-01,0,0,0
pilus assembly protein CpaF-08,0,0,0
LAO/AO transport system kinase [EC:2.7.-.-]-01,0,0,0
DnaA-homolog protein-01,0,0,0
spermidine dehydrogenase [EC:1.5.99.6]-01,0,0,0
membrane protein required for colicin V production-01,0.01,0.01,0
biotin synthesis protein BioC-01,0,0,0
3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]-30,0,0,0
2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]-01,0.01,0.01,0
protein phosphatase [EC:3.1.3.16]-30,0,0,0
D-cysteine desulfhydrase [EC:4.4.1.15]-30,0,0,0
aminoacylhistidine dipeptidase [EC:3.4.13.3]-30,0,0,0
allophycocyanin alpha subunit-08,0,0,0
26S proteasome regulatory subunit T2-30,0,0,0
AMP deaminase [EC:3.5.4.6]-30,0,0,0
3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]-01,0,0,0
large subunit ribosomal protein L22e-08,0,0,0
unspecific monooxygenase [EC:1.14.14.1]-30,0,0,0
methoxyneurosporene dehydrogenase [EC:1.14.99.-]-08,0,0,0
anaphase-promoting complex subunit 2-30,0,0,0
E1A-binding protein p400 [EC:3.6.1.-]-30,0,0,0
multicomponent K+:H+ antiporter subunit D-30,0,0,0
20S proteasome subunit beta 1 [EC:3.4.25.1]-08,0,0,0
outer membrane factor; OMF family-08,0,0,0
flagellar biosynthesis protein-08,0,0,0
starvation-inducible DNA-binding protein-30,0,0,0
saccharopine dehydrogenase (NADP+; L-glutamate forming)-08,0,0,0
nitronate monooxygenase [EC:1.13.12.16]-30,0,0,0
methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]-01,0.01,0.01,0
ATP-dependent RNA helicase DDX27 [EC:3.6.1.-]-08,0,0,0
tRNA (guanine-N2-)-methyltransferase [EC:2.1.1.32]-30,0,0,0
cytochrome b6-f complex iron-sulfur subunit [EC:1.10.99.1]-08,0,0,0
AMP deaminase [EC:3.5.4.6]-08,0,0,0
5'-methylthioadenosine phosphorylase [EC:2.4.2.28]-01,0.01,0.01,0
chromate transporter-30,0,0,0
anaphase-promoting complex subunit 1-08,0,0,0
D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate-30,0,0,0
UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]-30,0,0,0
membrane fusion protein-30,0,0,0
gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [EC:1.2.1.-]-30,0,0,0
DnaJ homolog subfamily C member 2-08,0,0,0
NAD(P) transhydrogenase [EC:1.6.1.1]-01,0,0,0
type IV pilus assembly protein PilM-30,0,0,0
arabinogalactan endo-1;4-beta-galactosidase [EC:3.2.1.89]-08,0,0,0
membrane-bound lytic murein transglycosylase A [EC:3.2.1.-]-30,0,0,0
integration host factor subunit beta-30,0,0,0
T-complex protein 1 subunit theta-08,0,0,0
CRP/FNR family transcriptional regulator; cyclic AMP receptor-30,0,0,0
carnitinyl-CoA dehydratase [EC:4.2.1.-]-30,0,0,0
glycolate oxidase FAD binding subunit-30,0,0,0
biotin biosynthesis protein BioH-08,0,0,0
UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]-30,0,0,0
lactoylglutathione lyase [EC:4.4.1.5]-30,0,0,0
succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]-08,0,0,0
runt-related transcription factor 2-30,0,0,0
putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]-01,0.01,0.01,0
CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase-30,0,0,0
glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]-08,0,0,0
tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]-30,0,0,0
sugar fermentation stimulation protein A-01,0.01,0.01,0
two-component system; OmpR family; heavy metal sensor histidine-30,0,0,0
Smg protein-08,0,0,0
IclR family transcriptional regulator; mhp operon transcriptional-08,0,0,0
histone acetyltransferase MYST1 [EC:2.3.1.48]-30,0,0,0
DNA ligase 1 [EC:6.5.1.1]-08,0,0,0
Lrp/AsnC family transcriptional regulator-01,0,0,0
ADP-ribose diphosphatase [EC:3.6.1.-]-08,0,0,0
ApaG protein-01,0,0,0
cytochrome c-type biogenesis protein-30,0,0,0
pyridoxine kinase [EC:2.7.1.35]-08,0,0,0
iduronate 2-sulfatase [EC:3.1.6.13]-30,0,0,0
AP-1 complex subunit gamma-1-08,0,0,0
pyrroloquinoline quinone biosynthesis protein E-30,0,0,0
glutaminase [EC:3.5.1.2]-30,0,0,0
feruloyl-CoA synthase [EC:6.2.1.34]-08,0,0,0
Na+-transporting NADH:ubiquinone oxidoreductase subunit C-01,0,0,0
DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]-30,0,0,0
ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]-01,0,0,0
serine protease DegS [EC:3.4.21.-]-30,0,0,0
large conductance mechanosensitive channel; MscL family-08,0,0,0
monoamine oxidase [EC:1.4.3.4]-30,0,0,0
protoporphyrinogen oxidase [EC:1.3.3.4]-01,0.01,0.01,0
small subunit ribosomal protein S6e-08,0,0,0
arsenite-transporting ATPase [EC:3.6.3.16]-08,0,0,0
2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]-30,0,0,0
phosphatidylinositol 4-kinase [EC:2.7.1.67]-08,0,0,0
26S proteasome regulatory subunit T4-30,0,0,0
pyridoxine biosynthesis protein [EC:4.-.-.-]-30,0,0,0
nitric oxide dioxygenase [EC:1.14.12.17]-30,0,0,0
DNA repair protein RadC-01,0,0,0
two-component system; NarL family; sensor histidine kinase UhpB-08,0,0,0
phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP-30,0,0,0
L-idonate 5-dehydrogenase [EC:1.1.1.264]-30,0,0,0
ATP adenylyltransferase [EC:2.7.7.53]-08,0,0,0
pre-mRNA-splicing factor SYF1-30,0,0,0
5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]-08,0,0,0
lactate transporter; LctP family-30,0,0,0
calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]-08,0,0,0
mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]-30,0,0,0
nuclear receptor; other families; insect-08,0,0,0
uncharacterized zinc-type alcohol dehydrogenase-like protein-08,0,0,0
fused [EC:2.7.11.1]-30,0,0,0
UDP-glucose:(heptosyl)LPS alpha-1;3-glucosyltransferase [EC:2.4.1.-]-08,0,0,0
E3 ubiquitin-protein ligase NEDD4 [EC:6.3.2.19]-08,0,0,0
capsular polysaccharide transport system permease protein-30,0,0,0
MSHA biogenesis protein MshE-30,0,0,0
aldehyde reductase [EC:1.1.1.21]-08,0,0,0
